 228,3327,1950,2718,3319,1907,2682,3283,3662
 229,3354,1975,2748,3346,1932,2712,3311,3678
 230,3381,2000,2779,3373,1958,2743,3340,3695
 231,3408,2027,2810,3401,1984,2775,3369,3711
 232,3435,2054,2842,3428,2011,2808,3398,3727
 233,3463,2082,2875,3456,2038,2841,3427,3743
 234,3490,2110,2909,3484,2067,2875,3456,3759
 235,3518,2139,2944,3512,2096,2910,3485,3775
 236,3545,2170,2980,3540,2126,2946,3514,3791
 237,3573,2201,3017,3568,2157,2983,3544,3807
 238,3601,2233,3054,3596,2189,3021,3573,3823
 239,3629,2266,3093,3625,2222,3060,3603,3839
 240,3658,2300,3134,3653,2255,3101,3632,3855
 241,3686,2335,3175,3682,2290,3144,3662,3871
 242,3715,2372,3218,3711,2327,3187,3693,3887
 243,3743,2410,3263,3740,2365,3233,3723,3903
 244,3772,2450,3310,3769,2404,3280,3753,3919
 245,3801,2492,3359,3798,2445,3330,3784,3935
 246,3830,2536,3411,3827,2489,3382,3814,3952
 247,3859,2582,3465,3856,2534,3437,3845,3968
 248,3888,2630,3522,3886,2582,3495,3876,3984
 249,3917,2682,3583,3915,2634,3557,3907,4000
 250,3947,2738,3648,3945,2688,3624,3938,4016
 251,3976,2799,3718,3975,2747,3697,3969,4032
 252,4006,2865,3796,4005,2812,3776,4001,4048
 253,4035,2939,3882,4035,2884,3866,4032,4064
 254,4065,3024,3980,4065,2965,3971,4064,4080
 255,4095,4095,4095,4095,4095,4095,4095,4095
